GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US250250502003,250250502003,"Block Group 3, Census Tract 502, Suffolk County, Massachusetts",20243,7396
1500000US250250502004,250250502004,"Block Group 4, Census Tract 502, Suffolk County, Massachusetts",16406,3873
1500000US250250503001,250250503001,"Block Group 1, Census Tract 503, Suffolk County, Massachusetts",23726,4933
1500000US250250503002,250250503002,"Block Group 2, Census Tract 503, Suffolk County, Massachusetts",13910,2069
1500000US250250504001,250250504001,"Block Group 1, Census Tract 504, Suffolk County, Massachusetts",36614,12985
1500000US250250504002,250250504002,"Block Group 2, Census Tract 504, Suffolk County, Massachusetts",26463,5106
1500000US250250505001,250250505001,"Block Group 1, Census Tract 505, Suffolk County, Massachusetts",19833,3101
1500000US250250506001,250250506001,"Block Group 1, Census Tract 506, Suffolk County, Massachusetts",22787,7861
1500000US250250506002,250250506002,"Block Group 2, Census Tract 506, Suffolk County, Massachusetts",35779,7514
1500000US250250507001,250250507001,"Block Group 1, Census Tract 507, Suffolk County, Massachusetts",21882,4263
1500000US250250507002,250250507002,"Block Group 2, Census Tract 507, Suffolk County, Massachusetts",25582,5886
1500000US250250507003,250250507003,"Block Group 3, Census Tract 507, Suffolk County, Massachusetts",23408,6244
1500000US250250509011,250250509011,"Block Group 1, Census Tract 509.01, Suffolk County, Massachusetts",25702,5319
1500000US250250509012,250250509012,"Block Group 2, Census Tract 509.01, Suffolk County, Massachusetts",25030,4284
1500000US250250509013,250250509013,"Block Group 3, Census Tract 509.01, Suffolk County, Massachusetts",18686,4570
1500000US250250510001,250250510001,"Block Group 1, Census Tract 510, Suffolk County, Massachusetts",32141,5784
1500000US250250510002,250250510002,"Block Group 2, Census Tract 510, Suffolk County, Massachusetts",23092,6689
1500000US250250510003,250250510003,"Block Group 3, Census Tract 510, Suffolk County, Massachusetts",21050,3845
1500000US250250511011,250250511011,"Block Group 1, Census Tract 511.01, Suffolk County, Massachusetts",29491,4519
1500000US250250511012,250250511012,"Block Group 2, Census Tract 511.01, Suffolk County, Massachusetts",18056,5280
1500000US250250511013,250250511013,"Block Group 3, Census Tract 511.01, Suffolk County, Massachusetts",34386,12219
1500000US250250511014,250250511014,"Block Group 4, Census Tract 511.01, Suffolk County, Massachusetts",34299,13849
1500000US250250512001,250250512001,"Block Group 1, Census Tract 512, Suffolk County, Massachusetts",81486,43660
1500000US250250512002,250250512002,"Block Group 2, Census Tract 512, Suffolk County, Massachusetts",23311,4508
1500000US250250512003,250250512003,"Block Group 3, Census Tract 512, Suffolk County, Massachusetts",54550,21066
1500000US250250601011,250250601011,"Block Group 1, Census Tract 601.01, Suffolk County, Massachusetts",60210,13950
1500000US250250601012,250250601012,"Block Group 2, Census Tract 601.01, Suffolk County, Massachusetts",50380,11379
1500000US250250601013,250250601013,"Block Group 3, Census Tract 601.01, Suffolk County, Massachusetts",60878,17097
1500000US250250601014,250250601014,"Block Group 4, Census Tract 601.01, Suffolk County, Massachusetts",58295,19379
1500000US250250602001,250250602001,"Block Group 1, Census Tract 602, Suffolk County, Massachusetts",53706,7915
1500000US250250602002,250250602002,"Block Group 2, Census Tract 602, Suffolk County, Massachusetts",55924,5949
1500000US250250603011,250250603011,"Block Group 1, Census Tract 603.01, Suffolk County, Massachusetts",45213,11037
1500000US250250603012,250250603012,"Block Group 2, Census Tract 603.01, Suffolk County, Massachusetts",51399,8949
1500000US250250603013,250250603013,"Block Group 3, Census Tract 603.01, Suffolk County, Massachusetts",60355,13870
1500000US250250604001,250250604001,"Block Group 1, Census Tract 604, Suffolk County, Massachusetts",54058,11411
1500000US250250604002,250250604002,"Block Group 2, Census Tract 604, Suffolk County, Massachusetts",64372,14013
1500000US250250604003,250250604003,"Block Group 3, Census Tract 604, Suffolk County, Massachusetts",58195,14759
1500000US250250604004,250250604004,"Block Group 4, Census Tract 604, Suffolk County, Massachusetts",46956,7382
1500000US250250604005,250250604005,"Block Group 5, Census Tract 604, Suffolk County, Massachusetts",40931,14175
1500000US250250605011,250250605011,"Block Group 1, Census Tract 605.01, Suffolk County, Massachusetts",50349,9892
1500000US250250605012,250250605012,"Block Group 2, Census Tract 605.01, Suffolk County, Massachusetts",51402,8755
1500000US250250605013,250250605013,"Block Group 3, Census Tract 605.01, Suffolk County, Massachusetts",62767,17107
1500000US250250605014,250250605014,"Block Group 4, Census Tract 605.01, Suffolk County, Massachusetts",70503,9143
1500000US250250605015,250250605015,"Block Group 5, Census Tract 605.01, Suffolk County, Massachusetts",61002,22907
1500000US250250606001,250250606001,"Block Group 1, Census Tract 606, Suffolk County, Massachusetts",75190,8016
1500000US250250607001,250250607001,"Block Group 1, Census Tract 607, Suffolk County, Massachusetts",8895,3235
1500000US250250607002,250250607002,"Block Group 2, Census Tract 607, Suffolk County, Massachusetts",9056,1495
1500000US250250608001,250250608001,"Block Group 1, Census Tract 608, Suffolk County, Massachusetts",57051,28905
1500000US250250608002,250250608002,"Block Group 2, Census Tract 608, Suffolk County, Massachusetts",60503,24736
1500000US250250608003,250250608003,"Block Group 3, Census Tract 608, Suffolk County, Massachusetts",60902,23954
1500000US250250608004,250250608004,"Block Group 4, Census Tract 608, Suffolk County, Massachusetts",49442,12547
1500000US250250610001,250250610001,"Block Group 1, Census Tract 610, Suffolk County, Massachusetts",48482,7731
1500000US250250610002,250250610002,"Block Group 2, Census Tract 610, Suffolk County, Massachusetts",8294,2043
1500000US250250610003,250250610003,"Block Group 3, Census Tract 610, Suffolk County, Massachusetts",5157,965
1500000US250250611011,250250611011,"Block Group 1, Census Tract 611.01, Suffolk County, Massachusetts",19028,14378
1500000US250250611012,250250611012,"Block Group 2, Census Tract 611.01, Suffolk County, Massachusetts",10833,2157
1500000US250250612001,250250612001,"Block Group 1, Census Tract 612, Suffolk County, Massachusetts",91806,11537
1500000US250250612002,250250612002,"Block Group 2, Census Tract 612, Suffolk County, Massachusetts",31227,7072
1500000US250250612003,250250612003,"Block Group 3, Census Tract 612, Suffolk County, Massachusetts",45810,10869
1500000US250250701011,250250701011,"Block Group 1, Census Tract 701.01, Suffolk County, Massachusetts",129087,58030
1500000US250250701012,250250701012,"Block Group 2, Census Tract 701.01, Suffolk County, Massachusetts",8679,4855
1500000US250250701013,250250701013,"Block Group 3, Census Tract 701.01, Suffolk County, Massachusetts",85889,40186
1500000US250250701014,250250701014,"Block Group 4, Census Tract 701.01, Suffolk County, Massachusetts",59474,21870
1500000US250250701015,250250701015,"Block Group 5, Census Tract 701.01, Suffolk County, Massachusetts",298952,156517
1500000US250250701016,250250701016,"Block Group 6, Census Tract 701.01, Suffolk County, Massachusetts",102853,68808
1500000US250250701017,250250701017,"Block Group 7, Census Tract 701.01, Suffolk County, Massachusetts",29542,12168
1500000US250250701018,250250701018,"Block Group 8, Census Tract 701.01, Suffolk County, Massachusetts",282601,284123
1500000US250250702001,250250702001,"Block Group 1, Census Tract 702, Suffolk County, Massachusetts",21646,10382
1500000US250250702002,250250702002,"Block Group 2, Census Tract 702, Suffolk County, Massachusetts",15558,4028
1500000US250250702003,250250702003,"Block Group 3, Census Tract 702, Suffolk County, Massachusetts",18664,9501
1500000US250250703001,250250703001,"Block Group 1, Census Tract 703, Suffolk County, Massachusetts",93114,35115
1500000US250250703002,250250703002,"Block Group 2, Census Tract 703, Suffolk County, Massachusetts",56933,16240
1500000US250250703003,250250703003,"Block Group 3, Census Tract 703, Suffolk County, Massachusetts",69680,24086
1500000US250250703004,250250703004,"Block Group 4, Census Tract 703, Suffolk County, Massachusetts",98692,16120
1500000US250250704021,250250704021,"Block Group 1, Census Tract 704.02, Suffolk County, Massachusetts",13141,2038
1500000US250250705001,250250705001,"Block Group 1, Census Tract 705, Suffolk County, Massachusetts",106975,25327
1500000US250250705002,250250705002,"Block Group 2, Census Tract 705, Suffolk County, Massachusetts",15555,5401
1500000US250250705003,250250705003,"Block Group 3, Census Tract 705, Suffolk County, Massachusetts",91458,22211
1500000US250250705004,250250705004,"Block Group 4, Census Tract 705, Suffolk County, Massachusetts",63264,23886
1500000US250250706001,250250706001,"Block Group 1, Census Tract 706, Suffolk County, Massachusetts",103000,27295
1500000US250250706002,250250706002,"Block Group 2, Census Tract 706, Suffolk County, Massachusetts",116380,19403
1500000US250250707001,250250707001,"Block Group 1, Census Tract 707, Suffolk County, Massachusetts",71751,19993
1500000US250250707002,250250707002,"Block Group 2, Census Tract 707, Suffolk County, Massachusetts",78672,21036
1500000US250250708001,250250708001,"Block Group 1, Census Tract 708, Suffolk County, Massachusetts",66243,16538
